Month,Price,Change
Jan 2015,26096.85,-
Feb 2015,26051.73,-0.17 %
Mar 2015,25604.43,-1.72 %
Apr 2015,25038.51,-2.21 %
May 2015,24311.68,-2.90 %
Jun 2015,24011.64,-1.23 %
Jul 2015,24949.16,3.90 %
Aug 2015,24271.98,-2.71 %
Sep 2015,23638.75,-2.61 %
Oct 2015,24273.15,2.68 %
Nov 2015,24306.55,0.14 %
Dec 2015,24174.17,-0.54 %
Jan 2016,24831.25,2.72 %
Feb 2016,26205.34,5.53 %
Mar 2016,25750.31,-1.74 %
Apr 2016,26255.46,1.96 %
May 2016,28961.69,10.31 %
Jun 2016,29671.2,2.45 %
Jul 2016,29709.82,0.13 %
Aug 2016,27779.09,-6.50 %
Sep 2016,25628.87,-7.74 %
Oct 2016,24633.42,-3.88 %
Nov 2016,24647.5,0.06 %
Dec 2016,25326.29,2.75 %
Jan 2017,25676.56,1.38 %
Feb 2017,24626.7,-4.09 %
Mar 2017,24388.67,-0.97 %
Apr 2017,24515.25,0.52 %
May 2017,27120.09,10.63 %
Jun 2017,29511.71,8.82 %
Jul 2017,26871.64,-8.95 %
Aug 2017,25138.6,-6.45 %
Sep 2017,25913.18,3.08 %
Oct 2017,25643.9,-1.04 %
Nov 2017,26078.74,1.70 %
Dec 2017,26082.38,0.01 %
Jan 2018,28130.78,7.85 %
Feb 2018,27358.88,-2.74 %
Mar 2018,27954.52,2.18 %
Apr 2018,29613.84,5.94 %
May 2018,30462.32,2.87 %
Jun 2018,28947.64,-4.97 %
Jul 2018,27343.03,-5.54 %
Aug 2018,28161.58,2.99 %
Sep 2018,29281.63,3.98 %
Oct 2018,30109.66,2.83 %
Nov 2018,28801.52,-4.34 %
Dec 2018,28615.95,-0.64 %
Jan 2019,29007.79,1.37 %
Feb 2019,29052.84,0.16 %
Mar 2019,28208.33,-2.91 %
Apr 2019,28673.52,1.65 %
May 2019,28543.84,-0.45 %
Jun 2019,29164.32,2.17 %
Jul 2019,28623.5,-1.85 %
Aug 2019,30592.65,6.88 %
Sep 2019,30459.47,-0.44 %
Oct 2019,30126,-1.09 %
Nov 2019,30071.64,-0.18 %
Dec 2019,30753.28,2.27 %
Jan 2020,32168.65,4.60 %
